"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	Population
	"Aurora County, SD"	"46003"	"Male"	"M"	1456
"Total"	"Aurora County, SD"	"46003"			2751
	"Beadle County, SD"	"46005"	"Female"	"F"	9107
	"Beadle County, SD"	"46005"	"Male"	"M"	9346
"Total"	"Beadle County, SD"	"46005"			18453
	"Bennett County, SD"	"46007"	"Female"	"F"	1707
	"Bennett County, SD"	"46007"	"Male"	"M"	1658
"Total"	"Bennett County, SD"	"46007"			3365
	"Bon Homme County, SD"	"46009"	"Female"	"F"	2814
	"Bon Homme County, SD"	"46009"	"Male"	"M"	4087
"Total"	"Bon Homme County, SD"	"46009"			6901
	"Brookings County, SD"	"46011"	"Female"	"F"	17045
	"Brookings County, SD"	"46011"	"Male"	"M"	18032
"Total"	"Brookings County, SD"	"46011"			35077
	"Brown County, SD"	"46013"	"Female"	"F"	19678
	"Brown County, SD"	"46013"	"Male"	"M"	19161
"Total"	"Brown County, SD"	"46013"			38839
	"Brule County, SD"	"46015"	"Female"	"F"	2654
	"Brule County, SD"	"46015"	"Male"	"M"	2643
"Total"	"Brule County, SD"	"46015"			5297
	"Buffalo County, SD"	"46017"	"Female"	"F"	993
	"Buffalo County, SD"	"46017"	"Male"	"M"	969
"Total"	"Buffalo County, SD"	"46017"			1962
	"Butte County, SD"	"46019"	"Female"	"F"	5109
	"Butte County, SD"	"46019"	"Male"	"M"	5320
"Total"	"Butte County, SD"	"46019"			10429
	"Campbell County, SD"	"46021"	"Female"	"F"	665
	"Campbell County, SD"	"46021"	"Male"	"M"	711
"Total"	"Campbell County, SD"	"46021"			1376
	"Charles Mix County, SD"	"46023"	"Female"	"F"	4612
	"Charles Mix County, SD"	"46023"	"Male"	"M"	4680
"Total"	"Charles Mix County, SD"	"46023"			9292
	"Clark County, SD"	"46025"	"Female"	"F"	1821
	"Clark County, SD"	"46025"	"Male"	"M"	1915
"Total"	"Clark County, SD"	"46025"			3736
	"Clay County, SD"	"46027"	"Female"	"F"	7051
	"Clay County, SD"	"46027"	"Male"	"M"	7019
"Total"	"Clay County, SD"	"46027"			14070
	"Codington County, SD"	"46029"	"Female"	"F"	13948
	"Codington County, SD"	"46029"	"Male"	"M"	14061
"Total"	"Codington County, SD"	"46029"			28009
	"Corson County, SD"	"46031"	"Female"	"F"	2055
	"Corson County, SD"	"46031"	"Male"	"M"	2031
"Total"	"Corson County, SD"	"46031"			4086
	"Custer County, SD"	"46033"	"Female"	"F"	4527
	"Custer County, SD"	"46033"	"Male"	"M"	4445
"Total"	"Custer County, SD"	"46033"			8972
	"Davison County, SD"	"46035"	"Female"	"F"	9889
	"Davison County, SD"	"46035"	"Male"	"M"	9886
"Total"	"Davison County, SD"	"46035"			19775
	"Day County, SD"	"46037"	"Female"	"F"	2669
	"Day County, SD"	"46037"	"Male"	"M"	2755
"Total"	"Day County, SD"	"46037"			5424
	"Deuel County, SD"	"46039"	"Female"	"F"	2089
	"Deuel County, SD"	"46039"	"Male"	"M"	2262
"Total"	"Deuel County, SD"	"46039"			4351
	"Dewey County, SD"	"46041"	"Female"	"F"	2976
	"Dewey County, SD"	"46041"	"Male"	"M"	2916
"Total"	"Dewey County, SD"	"46041"			5892
	"Douglas County, SD"	"46043"	"Female"	"F"	1463
	"Douglas County, SD"	"46043"	"Male"	"M"	1458
"Total"	"Douglas County, SD"	"46043"			2921
	"Edmunds County, SD"	"46045"	"Female"	"F"	1914
	"Edmunds County, SD"	"46045"	"Male"	"M"	1915
"Total"	"Edmunds County, SD"	"46045"			3829
	"Fall River County, SD"	"46047"	"Female"	"F"	3320
	"Fall River County, SD"	"46047"	"Male"	"M"	3393
"Total"	"Fall River County, SD"	"46047"			6713
	"Faulk County, SD"	"46049"	"Female"	"F"	1148
	"Faulk County, SD"	"46049"	"Male"	"M"	1151
"Total"	"Faulk County, SD"	"46049"			2299
	"Grant County, SD"	"46051"	"Female"	"F"	3360
	"Grant County, SD"	"46051"	"Male"	"M"	3692
"Total"	"Grant County, SD"	"46051"			7052
	"Gregory County, SD"	"46053"	"Female"	"F"	2031
	"Gregory County, SD"	"46053"	"Male"	"M"	2154
"Total"	"Gregory County, SD"	"46053"			4185
	"Haakon County, SD"	"46055"	"Female"	"F"	956
	"Haakon County, SD"	"46055"	"Male"	"M"	943
"Total"	"Haakon County, SD"	"46055"			1899
	"Hamlin County, SD"	"46057"	"Female"	"F"	3006
	"Hamlin County, SD"	"46057"	"Male"	"M"	3158
"Total"	"Hamlin County, SD"	"46057"			6164
	"Hand County, SD"	"46059"	"Female"	"F"	1602
	"Hand County, SD"	"46059"	"Male"	"M"	1589
"Total"	"Hand County, SD"	"46059"			3191
	"Hanson County, SD"	"46061"	"Female"	"F"	1720
	"Hanson County, SD"	"46061"	"Male"	"M"	1733
"Total"	"Hanson County, SD"	"46061"			3453
	"Harding County, SD"	"46063"	"Female"	"F"	610
	"Harding County, SD"	"46063"	"Male"	"M"	688
"Total"	"Harding County, SD"	"46063"			1298
	"Hughes County, SD"	"46065"	"Female"	"F"	8884
	"Hughes County, SD"	"46065"	"Male"	"M"	8642
"Total"	"Hughes County, SD"	"46065"			17526
	"Hutchinson County, SD"	"46067"	"Female"	"F"	3700
	"Hutchinson County, SD"	"46067"	"Male"	"M"	3591
"Total"	"Hutchinson County, SD"	"46067"			7291
	"Hyde County, SD"	"46069"	"Female"	"F"	626
	"Hyde County, SD"	"46069"	"Male"	"M"	675
"Total"	"Hyde County, SD"	"46069"			1301
	"Jackson County, SD"	"46071"	"Female"	"F"	1669
	"Jackson County, SD"	"46071"	"Male"	"M"	1675
"Total"	"Jackson County, SD"	"46071"			3344
	"Jerauld County, SD"	"46073"	"Female"	"F"	1006
	"Jerauld County, SD"	"46073"	"Male"	"M"	1007
"Total"	"Jerauld County, SD"	"46073"			2013
	"Jones County, SD"	"46075"	"Female"	"F"	445
	"Jones County, SD"	"46075"	"Male"	"M"	458
"Total"	"Jones County, SD"	"46075"			903
	"Kingsbury County, SD"	"46077"	"Female"	"F"	2408
	"Kingsbury County, SD"	"46077"	"Male"	"M"	2531
"Total"	"Kingsbury County, SD"	"46077"			4939
	"Lake County, SD"	"46079"	"Female"	"F"	6131
	"Lake County, SD"	"46079"	"Male"	"M"	6666
"Total"	"Lake County, SD"	"46079"			12797
	"Lawrence County, SD"	"46081"	"Female"	"F"	12893
	"Lawrence County, SD"	"46081"	"Male"	"M"	12951
"Total"	"Lawrence County, SD"	"46081"			25844
	"Lincoln County, SD"	"46083"	"Female"	"F"	30847
	"Lincoln County, SD"	"46083"	"Male"	"M"	30281
"Total"	"Lincoln County, SD"	"46083"			61128
	"Lyman County, SD"	"46085"	"Female"	"F"	1822
	"Lyman County, SD"	"46085"	"Male"	"M"	1959
"Total"	"Lyman County, SD"	"46085"			3781
	"McCook County, SD"	"46087"	"Female"	"F"	2796
	"McCook County, SD"	"46087"	"Male"	"M"	2790
"Total"	"McCook County, SD"	"46087"			5586
	"McPherson County, SD"	"46089"	"Female"	"F"	1190
	"McPherson County, SD"	"46089"	"Male"	"M"	1189
"Total"	"McPherson County, SD"	"46089"			2379
	"Marshall County, SD"	"46091"	"Female"	"F"	2307
	"Marshall County, SD"	"46091"	"Male"	"M"	2628
"Total"	"Marshall County, SD"	"46091"			4935
	"Meade County, SD"	"46093"	"Female"	"F"	13590
	"Meade County, SD"	"46093"	"Male"	"M"	14742
"Total"	"Meade County, SD"	"46093"			28332
	"Mellette County, SD"	"46095"	"Female"	"F"	1004
	"Mellette County, SD"	"46095"	"Male"	"M"	1057
"Total"	"Mellette County, SD"	"46095"			2061
	"Miner County, SD"	"46097"	"Female"	"F"	1067
	"Miner County, SD"	"46097"	"Male"	"M"	1149
"Total"	"Miner County, SD"	"46097"			2216
	"Minnehaha County, SD"	"46099"	"Female"	"F"	95479
	"Minnehaha County, SD"	"46099"	"Male"	"M"	97655
"Total"	"Minnehaha County, SD"	"46099"			193134
	"Moody County, SD"	"46101"	"Female"	"F"	3276
	"Moody County, SD"	"46101"	"Male"	"M"	3300
"Total"	"Moody County, SD"	"46101"			6576
	"Oglala Lakota County, SD"	"46102"	"Female"	"F"	7216
	"Oglala Lakota County, SD"	"46102"	"Male"	"M"	6961
"Total"	"Oglala Lakota County, SD"	"46102"			14177
	"Pennington County, SD"	"46103"	"Female"	"F"	56559
	"Pennington County, SD"	"46103"	"Male"	"M"	57216
"Total"	"Pennington County, SD"	"46103"			113775
	"Perkins County, SD"	"46105"	"Female"	"F"	1426
	"Perkins County, SD"	"46105"	"Male"	"M"	1439
"Total"	"Perkins County, SD"	"46105"			2865
	"Potter County, SD"	"46107"	"Female"	"F"	1093
	"Potter County, SD"	"46107"	"Male"	"M"	1060
"Total"	"Potter County, SD"	"46107"			2153
	"Roberts County, SD"	"46109"	"Female"	"F"	5107
	"Roberts County, SD"	"46109"	"Male"	"M"	5287
"Total"	"Roberts County, SD"	"46109"			10394
	"Sanborn County, SD"	"46111"	"Female"	"F"	1129
	"Sanborn County, SD"	"46111"	"Male"	"M"	1215
"Total"	"Sanborn County, SD"	"46111"			2344
	"Spink County, SD"	"46115"	"Female"	"F"	3174
	"Spink County, SD"	"46115"	"Male"	"M"	3202
"Total"	"Spink County, SD"	"46115"			6376
	"Stanley County, SD"	"46117"	"Female"	"F"	1518
	"Stanley County, SD"	"46117"	"Male"	"M"	1580
"Total"	"Stanley County, SD"	"46117"			3098
	"Sully County, SD"	"46119"	"Female"	"F"	661
	"Sully County, SD"	"46119"	"Male"	"M"	730
"Total"	"Sully County, SD"	"46119"			1391
	"Todd County, SD"	"46121"	"Female"	"F"	5251
	"Todd County, SD"	"46121"	"Male"	"M"	4926
"Total"	"Todd County, SD"	"46121"			10177
	"Tripp County, SD"	"46123"	"Female"	"F"	2711
	"Tripp County, SD"	"46123"	"Male"	"M"	2730
"Total"	"Tripp County, SD"	"46123"			5441
	"Turner County, SD"	"46125"	"Female"	"F"	4180
	"Turner County, SD"	"46125"	"Male"	"M"	4204
"Total"	"Turner County, SD"	"46125"			8384
	"Union County, SD"	"46127"	"Female"	"F"	7878
	"Union County, SD"	"46127"	"Male"	"M"	8054
"Total"	"Union County, SD"	"46127"			15932
	"Walworth County, SD"	"46129"	"Female"	"F"	2710
	"Walworth County, SD"	"46129"	"Male"	"M"	2725
"Total"	"Walworth County, SD"	"46129"			5435
	"Yankton County, SD"	"46135"	"Female"	"F"	10932
	"Yankton County, SD"	"46135"	"Male"	"M"	11882
"Total"	"Yankton County, SD"	"46135"			22814
	"Ziebach County, SD"	"46137"	"Female"	"F"	1383
	"Ziebach County, SD"	"46137"	"Male"	"M"	1373
"Total"	"Ziebach County, SD"	"46137"			2756
	"Anderson County, TN"	"47001"	"Female"	"F"	39468
	"Anderson County, TN"	"47001"	"Male"	"M"	37510
"Total"	"Anderson County, TN"	"47001"			76978
	"Bedford County, TN"	"47003"	"Female"	"F"	25199
	"Bedford County, TN"	"47003"	"Male"	"M"	24514
"Total"	"Bedford County, TN"	"47003"			49713
	"Benton County, TN"	"47005"	"Female"	"F"	8256
	"Benton County, TN"	"47005"	"Male"	"M"	7904
"Total"	"Benton County, TN"	"47005"			16160
	"Bledsoe County, TN"	"47007"	"Female"	"F"	6099
	"Bledsoe County, TN"	"47007"	"Male"	"M"	8965
"Total"	"Bledsoe County, TN"	"47007"			15064
	"Blount County, TN"	"47009"	"Female"	"F"	68426
	"Blount County, TN"	"47009"	"Male"	"M"	64662
"Total"	"Blount County, TN"	"47009"			133088
	"Bradley County, TN"	"47011"	"Female"	"F"	55508
	"Bradley County, TN"	"47011"	"Male"	"M"	52602
"Total"	"Bradley County, TN"	"47011"			108110
	"Campbell County, TN"	"47013"	"Female"	"F"	20270
	"Campbell County, TN"	"47013"	"Male"	"M"	19572
"Total"	"Campbell County, TN"	"47013"			39842
	"Cannon County, TN"	"47015"	"Female"	"F"	7365
	"Cannon County, TN"	"47015"	"Male"	"M"	7313
"Total"	"Cannon County, TN"	"47015"			14678
	"Carroll County, TN"	"47017"	"Female"	"F"	14178
	"Carroll County, TN"	"47017"	"Male"	"M"	13589
"Total"	"Carroll County, TN"	"47017"			27767
	"Carter County, TN"	"47019"	"Female"	"F"	28689
	"Carter County, TN"	"47019"	"Male"	"M"	27702
"Total"	"Carter County, TN"	"47019"			56391
	"Cheatham County, TN"	"47021"	"Female"	"F"	20522
	"Cheatham County, TN"	"47021"	"Male"	"M"	20145
"Total"	"Cheatham County, TN"	"47021"			40667
	"Chester County, TN"	"47023"	"Female"	"F"	9003
	"Chester County, TN"	"47023"	"Male"	"M"	8294
"Total"	"Chester County, TN"	"47023"			17297
	"Claiborne County, TN"	"47025"	"Female"	"F"	16293
	"Claiborne County, TN"	"47025"	"Male"	"M"	15666
"Total"	"Claiborne County, TN"	"47025"			31959
	"Clay County, TN"	"47027"	"Female"	"F"	3880
	"Clay County, TN"	"47027"	"Male"	"M"	3735
"Total"	"Clay County, TN"	"47027"			7615
	"Cocke County, TN"	"47029"	"Female"	"F"	18542
	"Cocke County, TN"	"47029"	"Male"	"M"	17462
"Total"	"Cocke County, TN"	"47029"			36004
	"Coffee County, TN"	"47031"	"Female"	"F"	28941
	"Coffee County, TN"	"47031"	"Male"	"M"	27579
"Total"	"Coffee County, TN"	"47031"			56520
	"Crockett County, TN"	"47033"	"Female"	"F"	7463
	"Crockett County, TN"	"47033"	"Male"	"M"	6767
"Total"	"Crockett County, TN"	"47033"			14230
	"Cumberland County, TN"	"47035"	"Female"	"F"	30993
	"Cumberland County, TN"	"47035"	"Male"	"M"	29527
"Total"	"Cumberland County, TN"	"47035"			60520
	"Davidson County, TN"	"47037"	"Female"	"F"	359794
	"Davidson County, TN"	"47037"	"Male"	"M"	334350
"Total"	"Davidson County, TN"	"47037"			694144
	"Decatur County, TN"	"47039"	"Female"	"F"	5949
	"Decatur County, TN"	"47039"	"Male"	"M"	5714
"Total"	"Decatur County, TN"	"47039"			11663
	"DeKalb County, TN"	"47041"	"Female"	"F"	10282
	"DeKalb County, TN"	"47041"	"Male"	"M"	10208
"Total"	"DeKalb County, TN"	"47041"			20490
	"Dickson County, TN"	"47043"	"Female"	"F"	27467
	"Dickson County, TN"	"47043"	"Male"	"M"	26481
"Total"	"Dickson County, TN"	"47043"			53948
	"Dyer County, TN"	"47045"	"Female"	"F"	19239
	"Dyer County, TN"	"47045"	"Male"	"M"	17920
"Total"	"Dyer County, TN"	"47045"			37159
	"Fayette County, TN"	"47047"	"Female"	"F"	20864
	"Fayette County, TN"	"47047"	"Male"	"M"	20269
"Total"	"Fayette County, TN"	"47047"			41133
	"Fentress County, TN"	"47049"	"Female"	"F"	9415
	"Fentress County, TN"	"47049"	"Male"	"M"	9108
"Total"	"Fentress County, TN"	"47049"			18523
	"Franklin County, TN"	"47051"	"Female"	"F"	21516
	"Franklin County, TN"	"47051"	"Male"	"M"	20692
"Total"	"Franklin County, TN"	"47051"			42208
	"Gibson County, TN"	"47053"	"Female"	"F"	25484
	"Gibson County, TN"	"47053"	"Male"	"M"	23649
"Total"	"Gibson County, TN"	"47053"			49133
	"Giles County, TN"	"47055"	"Female"	"F"	15154
	"Giles County, TN"	"47055"	"Male"	"M"	14310
"Total"	"Giles County, TN"	"47055"			29464
	"Grainger County, TN"	"47057"	"Female"	"F"	11589
	"Grainger County, TN"	"47057"	"Male"	"M"	11731
"Total"	"Grainger County, TN"	"47057"			23320
	"Greene County, TN"	"47059"	"Female"	"F"	35112
	"Greene County, TN"	"47059"	"Male"	"M"	33957
"Total"	"Greene County, TN"	"47059"			69069
	"Grundy County, TN"	"47061"	"Female"	"F"	6761
	"Grundy County, TN"	"47061"	"Male"	"M"	6666
"Total"	"Grundy County, TN"	"47061"			13427
	"Hamblen County, TN"	"47063"	"Female"	"F"	33167
	"Hamblen County, TN"	"47063"	"Male"	"M"	31767
"Total"	"Hamblen County, TN"	"47063"			64934
	"Hamilton County, TN"	"47065"	"Female"	"F"	190260
	"Hamilton County, TN"	"47065"	"Male"	"M"	177544
"Total"	"Hamilton County, TN"	"47065"			367804
	"Hancock County, TN"	"47067"	"Female"	"F"	3364
	"Hancock County, TN"	"47067"	"Male"	"M"	3256
"Total"	"Hancock County, TN"	"47067"			6620
	"Hardeman County, TN"	"47069"	"Female"	"F"	11253
	"Hardeman County, TN"	"47069"	"Male"	"M"	13797
"Total"	"Hardeman County, TN"	"47069"			25050
	"Hardin County, TN"	"47071"	"Female"	"F"	13175
	"Hardin County, TN"	"47071"	"Male"	"M"	12477
"Total"	"Hardin County, TN"	"47071"			25652
	"Hawkins County, TN"	"47073"	"Female"	"F"	28854
	"Hawkins County, TN"	"47073"	"Male"	"M"	27932
"Total"	"Hawkins County, TN"	"47073"			56786
	"Haywood County, TN"	"47075"	"Female"	"F"	9205
	"Haywood County, TN"	"47075"	"Male"	"M"	8099
"Total"	"Haywood County, TN"	"47075"			17304
	"Henderson County, TN"	"47077"	"Female"	"F"	14345
	"Henderson County, TN"	"47077"	"Male"	"M"	13772
"Total"	"Henderson County, TN"	"47077"			28117
	"Henry County, TN"	"47079"	"Female"	"F"	16644
	"Henry County, TN"	"47079"	"Male"	"M"	15701
"Total"	"Henry County, TN"	"47079"			32345
	"Hickman County, TN"	"47081"	"Female"	"F"	11955
	"Hickman County, TN"	"47081"	"Male"	"M"	13223
"Total"	"Hickman County, TN"	"47081"			25178
	"Houston County, TN"	"47083"	"Female"	"F"	4162
	"Houston County, TN"	"47083"	"Male"	"M"	4039
"Total"	"Houston County, TN"	"47083"			8201
	"Humphreys County, TN"	"47085"	"Female"	"F"	9310
	"Humphreys County, TN"	"47085"	"Male"	"M"	9272
"Total"	"Humphreys County, TN"	"47085"			18582
	"Jackson County, TN"	"47087"	"Female"	"F"	5893
	"Jackson County, TN"	"47087"	"Male"	"M"	5893
"Total"	"Jackson County, TN"	"47087"			11786
	"Jefferson County, TN"	"47089"	"Female"	"F"	27650
	"Jefferson County, TN"	"47089"	"Male"	"M"	26845
"Total"	"Jefferson County, TN"	"47089"			54495
	"Johnson County, TN"	"47091"	"Female"	"F"	8244
	"Johnson County, TN"	"47091"	"Male"	"M"	9544
"Total"	"Johnson County, TN"	"47091"			17788
	"Knox County, TN"	"47093"	"Female"	"F"	241588
	"Knox County, TN"	"47093"	"Male"	"M"	228725
"Total"	"Knox County, TN"	"47093"			470313
	"Lake County, TN"	"47095"	"Female"	"F"	2608
	"Lake County, TN"	"47095"	"Male"	"M"	4408
"Total"	"Lake County, TN"	"47095"			7016
	"Lauderdale County, TN"	"47097"	"Female"	"F"	12333
	"Lauderdale County, TN"	"47097"	"Male"	"M"	13300
"Total"	"Lauderdale County, TN"	"47097"			25633
	"Lawrence County, TN"	"47099"	"Female"	"F"	22375
	"Lawrence County, TN"	"47099"	"Male"	"M"	21767
"Total"	"Lawrence County, TN"	"47099"			44142
	"Lewis County, TN"	"47101"	"Female"	"F"	6263
	"Lewis County, TN"	"47101"	"Male"	"M"	6005
"Total"	"Lewis County, TN"	"47101"			12268
	"Lincoln County, TN"	"47103"	"Female"	"F"	17545
	"Lincoln County, TN"	"47103"	"Male"	"M"	16821
"Total"	"Lincoln County, TN"	"47103"			34366
	"Loudon County, TN"	"47105"	"Female"	"F"	27400
	"Loudon County, TN"	"47105"	"Male"	"M"	26668
"Total"	"Loudon County, TN"	"47105"			54068
	"McMinn County, TN"	"47107"	"Female"	"F"	27600
	"McMinn County, TN"	"47107"	"Male"	"M"	26194
"Total"	"McMinn County, TN"	"47107"			53794
	"McNairy County, TN"	"47109"	"Female"	"F"	13107
	"McNairy County, TN"	"47109"	"Male"	"M"	12587
"Total"	"McNairy County, TN"	"47109"			25694
	"Macon County, TN"	"47111"	"Female"	"F"	12574
	"Macon County, TN"	"47111"	"Male"	"M"	12028
"Total"	"Macon County, TN"	"47111"			24602
	"Madison County, TN"	"47113"	"Female"	"F"	51570
	"Madison County, TN"	"47113"	"Male"	"M"	46414
"Total"	"Madison County, TN"	"47113"			97984
	"Marion County, TN"	"47115"	"Female"	"F"	14749
	"Marion County, TN"	"47115"	"Male"	"M"	14158
"Total"	"Marion County, TN"	"47115"			28907
	"Marshall County, TN"	"47117"	"Female"	"F"	17542
	"Marshall County, TN"	"47117"	"Male"	"M"	16833
"Total"	"Marshall County, TN"	"47117"			34375
	"Maury County, TN"	"47119"	"Female"	"F"	49824
	"Maury County, TN"	"47119"	"Male"	"M"	46563
"Total"	"Maury County, TN"	"47119"			96387
	"Meigs County, TN"	"47121"	"Female"	"F"	6264
	"Meigs County, TN"	"47121"	"Male"	"M"	6158
"Total"	"Meigs County, TN"	"47121"			12422
	"Monroe County, TN"	"47123"	"Female"	"F"	23359
	"Monroe County, TN"	"47123"	"Male"	"M"	23186
"Total"	"Monroe County, TN"	"47123"			46545
	"Montgomery County, TN"	"47125"	"Female"	"F"	104989
	"Montgomery County, TN"	"47125"	"Male"	"M"	104004
"Total"	"Montgomery County, TN"	"47125"			208993
	"Moore County, TN"	"47127"	"Female"	"F"	3296
	"Moore County, TN"	"47127"	"Male"	"M"	3192
"Total"	"Moore County, TN"	"47127"			6488
	"Morgan County, TN"	"47129"	"Female"	"F"	9709
	"Morgan County, TN"	"47129"	"Male"	"M"	11694
"Total"	"Morgan County, TN"	"47129"			21403
	"Obion County, TN"	"47131"	"Female"	"F"	15527
	"Obion County, TN"	"47131"	"Male"	"M"	14542
"Total"	"Obion County, TN"	"47131"			30069
	"Overton County, TN"	"47133"	"Female"	"F"	11189
	"Overton County, TN"	"47133"	"Male"	"M"	11052
"Total"	"Overton County, TN"	"47133"			22241
	"Perry County, TN"	"47135"	"Female"	"F"	4011
	"Perry County, TN"	"47135"	"Male"	"M"	4065
"Total"	"Perry County, TN"	"47135"			8076
	"Pickett County, TN"	"47137"	"Female"	"F"	2539
	"Pickett County, TN"	"47137"	"Male"	"M"	2509
"Total"	"Pickett County, TN"	"47137"			5048
	"Polk County, TN"	"47139"	"Female"	"F"	8508
	"Polk County, TN"	"47139"	"Male"	"M"	8324
"Total"	"Polk County, TN"	"47139"			16832
	"Putnam County, TN"	"47141"	"Female"	"F"	40382
	"Putnam County, TN"	"47141"	"Male"	"M"	39863
"Total"	"Putnam County, TN"	"47141"			80245
	"Rhea County, TN"	"47143"	"Female"	"F"	16701
	"Rhea County, TN"	"47143"	"Male"	"M"	16466
"Total"	"Rhea County, TN"	"47143"			33167
	"Roane County, TN"	"47145"	"Female"	"F"	27159
	"Roane County, TN"	"47145"	"Male"	"M"	26223
"Total"	"Roane County, TN"	"47145"			53382
	"Robertson County, TN"	"47147"	"Female"	"F"	36359
	"Robertson County, TN"	"47147"	"Male"	"M"	35454
"Total"	"Robertson County, TN"	"47147"			71813
	"Rutherford County, TN"	"47149"	"Female"	"F"	169033
	"Rutherford County, TN"	"47149"	"Male"	"M"	163252
"Total"	"Rutherford County, TN"	"47149"			332285
	"Scott County, TN"	"47151"	"Female"	"F"	11231
	"Scott County, TN"	"47151"	"Male"	"M"	10837
"Total"	"Scott County, TN"	"47151"			22068
	"Sequatchie County, TN"	"47153"	"Female"	"F"	7584
	"Sequatchie County, TN"	"47153"	"Male"	"M"	7442
"Total"	"Sequatchie County, TN"	"47153"			15026
	"Sevier County, TN"	"47155"	"Female"	"F"	49993
	"Sevier County, TN"	"47155"	"Male"	"M"	48257
"Total"	"Sevier County, TN"	"47155"			98250
	"Shelby County, TN"	"47157"	"Female"	"F"	492532
	"Shelby County, TN"	"47157"	"Male"	"M"	444634
"Total"	"Shelby County, TN"	"47157"			937166
	"Smith County, TN"	"47159"	"Female"	"F"	10136
	"Smith County, TN"	"47159"	"Male"	"M"	10021
"Total"	"Smith County, TN"	"47159"			20157
	"Stewart County, TN"	"47161"	"Female"	"F"	6863
	"Stewart County, TN"	"47161"	"Male"	"M"	6852
"Total"	"Stewart County, TN"	"47161"			13715
	"Sullivan County, TN"	"47163"	"Female"	"F"	81290
	"Sullivan County, TN"	"47163"	"Male"	"M"	77058
"Total"	"Sullivan County, TN"	"47163"			158348
	"Sumner County, TN"	"47165"	"Female"	"F"	97904
	"Sumner County, TN"	"47165"	"Male"	"M"	93379
"Total"	"Sumner County, TN"	"47165"			191283
	"Tipton County, TN"	"47167"	"Female"	"F"	31251
	"Tipton County, TN"	"47167"	"Male"	"M"	30348
"Total"	"Tipton County, TN"	"47167"			61599
	"Trousdale County, TN"	"47169"	"Female"	"F"	4642
	"Trousdale County, TN"	"47169"	"Male"	"M"	6642
"Total"	"Trousdale County, TN"	"47169"			11284
	"Unicoi County, TN"	"47171"	"Female"	"F"	9034
	"Unicoi County, TN"	"47171"	"Male"	"M"	8849
"Total"	"Unicoi County, TN"	"47171"			17883
	"Union County, TN"	"47173"	"Female"	"F"	10077
	"Union County, TN"	"47173"	"Male"	"M"	9895
"Total"	"Union County, TN"	"47173"			19972
	"Van Buren County, TN"	"47175"	"Female"	"F"	2911
	"Van Buren County, TN"	"47175"	"Male"	"M"	2961
"Total"	"Van Buren County, TN"	"47175"			5872
	"Warren County, TN"	"47177"	"Female"	"F"	20769
	"Warren County, TN"	"47177"	"Male"	"M"	20508
"Total"	"Warren County, TN"	"47177"			41277
	"Washington County, TN"	"47179"	"Female"	"F"	66170
	"Washington County, TN"	"47179"	"Male"	"M"	63205
"Total"	"Washington County, TN"	"47179"			129375
	"Wayne County, TN"	"47181"	"Female"	"F"	7440
	"Wayne County, TN"	"47181"	"Male"	"M"	9233
"Total"	"Wayne County, TN"	"47181"			16673
	"Weakley County, TN"	"47183"	"Female"	"F"	17051
	"Weakley County, TN"	"47183"	"Male"	"M"	16277
"Total"	"Weakley County, TN"	"47183"			33328
	"White County, TN"	"47185"	"Female"	"F"	13959
	"White County, TN"	"47185"	"Male"	"M"	13386
"Total"	"White County, TN"	"47185"			27345
	"Williamson County, TN"	"47187"	"Female"	"F"	121314
	"Williamson County, TN"	"47187"	"Male"	"M"	117098
"Total"	"Williamson County, TN"	"47187"			238412
	"Wilson County, TN"	"47189"	"Female"	"F"	73479
	"Wilson County, TN"	"47189"	"Male"	"M"	71178
"Total"	"Wilson County, TN"	"47189"			144657
	"Anderson County, TX"	"48001"	"Female"	"F"	22261
	"Anderson County, TX"	"48001"	"Male"	"M"	35474
"Total"	"Anderson County, TX"	"48001"			57735
	"Andrews County, TX"	"48003"	"Female"	"F"	9137
	"Andrews County, TX"	"48003"	"Male"	"M"	9568
"Total"	"Andrews County, TX"	"48003"			18705
	"Angelina County, TX"	"48005"	"Female"	"F"	44362
	"Angelina County, TX"	"48005"	"Male"	"M"	42353
"Total"	"Angelina County, TX"	"48005"			86715
	"Aransas County, TX"	"48007"	"Female"	"F"	11877
	"Aransas County, TX"	"48007"	"Male"	"M"	11633
"Total"	"Aransas County, TX"	"48007"			23510
	"Archer County, TX"	"48009"	"Female"	"F"	4367
	"Archer County, TX"	"48009"	"Male"	"M"	4186
"Total"	"Archer County, TX"	"48009"			8553
	"Armstrong County, TX"	"48011"	"Female"	"F"	964
	"Armstrong County, TX"	"48011"	"Male"	"M"	923
"Total"	"Armstrong County, TX"	"48011"			1887
	"Atascosa County, TX"	"48013"	"Female"	"F"	25679
	"Atascosa County, TX"	"48013"	"Male"	"M"	25474
"Total"	"Atascosa County, TX"	"48013"			51153
	"Austin County, TX"	"48015"	"Female"	"F"	15101
	"Austin County, TX"	"48015"	"Male"	"M"	14931
"Total"	"Austin County, TX"	"48015"			30032
	"Bailey County, TX"	"48017"	"Female"	"F"	3484
	"Bailey County, TX"	"48017"	"Male"	"M"	3516
"Total"	"Bailey County, TX"	"48017"			7000
	"Bandera County, TX"	"48019"	"Female"	"F"	11640
	"Bandera County, TX"	"48019"	"Male"	"M"	11472
"Total"	"Bandera County, TX"	"48019"			23112
