"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	Population
	"Maricopa County, AZ"	"04013"	"Male"	"M"	2217230
"Total"	"Maricopa County, AZ"	"04013"			4485414
	"Mohave County, AZ"	"04015"	"Female"	"F"	104834
	"Mohave County, AZ"	"04015"	"Male"	"M"	107347
"Total"	"Mohave County, AZ"	"04015"			212181
	"Navajo County, AZ"	"04017"	"Female"	"F"	55455
	"Navajo County, AZ"	"04017"	"Male"	"M"	55469
"Total"	"Navajo County, AZ"	"04017"			110924
	"Pima County, AZ"	"04019"	"Female"	"F"	531683
	"Pima County, AZ"	"04019"	"Male"	"M"	515596
"Total"	"Pima County, AZ"	"04019"			1047279
	"Pinal County, AZ"	"04021"	"Female"	"F"	221829
	"Pinal County, AZ"	"04021"	"Male"	"M"	240960
"Total"	"Pinal County, AZ"	"04021"			462789
	"Santa Cruz County, AZ"	"04023"	"Female"	"F"	24083
	"Santa Cruz County, AZ"	"04023"	"Male"	"M"	22415
"Total"	"Santa Cruz County, AZ"	"04023"			46498
	"Yavapai County, AZ"	"04025"	"Female"	"F"	120219
	"Yavapai County, AZ"	"04025"	"Male"	"M"	114880
"Total"	"Yavapai County, AZ"	"04025"			235099
	"Yuma County, AZ"	"04027"	"Female"	"F"	103681
	"Yuma County, AZ"	"04027"	"Male"	"M"	110106
"Total"	"Yuma County, AZ"	"04027"			213787
	"Arkansas County, AR"	"05001"	"Female"	"F"	9049
	"Arkansas County, AR"	"05001"	"Male"	"M"	8437
"Total"	"Arkansas County, AR"	"05001"			17486
	"Ashley County, AR"	"05003"	"Female"	"F"	10077
	"Ashley County, AR"	"05003"	"Male"	"M"	9580
"Total"	"Ashley County, AR"	"05003"			19657
	"Baxter County, AR"	"05005"	"Female"	"F"	21586
	"Baxter County, AR"	"05005"	"Male"	"M"	20346
"Total"	"Baxter County, AR"	"05005"			41932
	"Benton County, AR"	"05007"	"Female"	"F"	140273
	"Benton County, AR"	"05007"	"Male"	"M"	138868
"Total"	"Benton County, AR"	"05007"			279141
	"Boone County, AR"	"05009"	"Female"	"F"	18985
	"Boone County, AR"	"05009"	"Male"	"M"	18447
"Total"	"Boone County, AR"	"05009"			37432
	"Bradley County, AR"	"05011"	"Female"	"F"	5492
	"Bradley County, AR"	"05011"	"Male"	"M"	5271
"Total"	"Bradley County, AR"	"05011"			10763
	"Calhoun County, AR"	"05013"	"Female"	"F"	2567
	"Calhoun County, AR"	"05013"	"Male"	"M"	2622
"Total"	"Calhoun County, AR"	"05013"			5189
	"Carroll County, AR"	"05015"	"Female"	"F"	14239
	"Carroll County, AR"	"05015"	"Male"	"M"	14141
"Total"	"Carroll County, AR"	"05015"			28380
	"Chicot County, AR"	"05017"	"Female"	"F"	5021
	"Chicot County, AR"	"05017"	"Male"	"M"	5097
"Total"	"Chicot County, AR"	"05017"			10118
	"Clark County, AR"	"05019"	"Female"	"F"	11722
	"Clark County, AR"	"05019"	"Male"	"M"	10598
"Total"	"Clark County, AR"	"05019"			22320
	"Clay County, AR"	"05021"	"Female"	"F"	7449
	"Clay County, AR"	"05021"	"Male"	"M"	7102
"Total"	"Clay County, AR"	"05021"			14551
	"Cleburne County, AR"	"05023"	"Female"	"F"	12678
	"Cleburne County, AR"	"05023"	"Male"	"M"	12241
"Total"	"Cleburne County, AR"	"05023"			24919
	"Cleveland County, AR"	"05025"	"Female"	"F"	4018
	"Cleveland County, AR"	"05025"	"Male"	"M"	3938
"Total"	"Cleveland County, AR"	"05025"			7956
	"Columbia County, AR"	"05027"	"Female"	"F"	12129
	"Columbia County, AR"	"05027"	"Male"	"M"	11328
"Total"	"Columbia County, AR"	"05027"			23457
	"Conway County, AR"	"05029"	"Female"	"F"	10586
	"Conway County, AR"	"05029"	"Male"	"M"	10260
"Total"	"Conway County, AR"	"05029"			20846
	"Craighead County, AR"	"05031"	"Female"	"F"	56778
	"Craighead County, AR"	"05031"	"Male"	"M"	53554
"Total"	"Craighead County, AR"	"05031"			110332
	"Crawford County, AR"	"05033"	"Female"	"F"	32033
	"Crawford County, AR"	"05033"	"Male"	"M"	31224
"Total"	"Crawford County, AR"	"05033"			63257
	"Crittenden County, AR"	"05035"	"Female"	"F"	25171
	"Crittenden County, AR"	"05035"	"Male"	"M"	22784
"Total"	"Crittenden County, AR"	"05035"			47955
	"Cross County, AR"	"05037"	"Female"	"F"	8442
	"Cross County, AR"	"05037"	"Male"	"M"	7977
"Total"	"Cross County, AR"	"05037"			16419
	"Dallas County, AR"	"05039"	"Female"	"F"	3543
	"Dallas County, AR"	"05039"	"Male"	"M"	3466
"Total"	"Dallas County, AR"	"05039"			7009
	"Desha County, AR"	"05041"	"Female"	"F"	6002
	"Desha County, AR"	"05041"	"Male"	"M"	5359
"Total"	"Desha County, AR"	"05041"			11361
	"Drew County, AR"	"05043"	"Female"	"F"	9346
	"Drew County, AR"	"05043"	"Male"	"M"	8873
"Total"	"Drew County, AR"	"05043"			18219
	"Faulkner County, AR"	"05045"	"Female"	"F"	64520
	"Faulkner County, AR"	"05045"	"Male"	"M"	61487
"Total"	"Faulkner County, AR"	"05045"			126007
	"Franklin County, AR"	"05047"	"Female"	"F"	8878
	"Franklin County, AR"	"05047"	"Male"	"M"	8837
"Total"	"Franklin County, AR"	"05047"			17715
	"Fulton County, AR"	"05049"	"Female"	"F"	6317
	"Fulton County, AR"	"05049"	"Male"	"M"	6160
"Total"	"Fulton County, AR"	"05049"			12477
	"Garland County, AR"	"05051"	"Female"	"F"	51603
	"Garland County, AR"	"05051"	"Male"	"M"	47783
"Total"	"Garland County, AR"	"05051"			99386
	"Grant County, AR"	"05053"	"Female"	"F"	9250
	"Grant County, AR"	"05053"	"Male"	"M"	9015
"Total"	"Grant County, AR"	"05053"			18265
	"Greene County, AR"	"05055"	"Female"	"F"	22989
	"Greene County, AR"	"05055"	"Male"	"M"	22336
"Total"	"Greene County, AR"	"05055"			45325
	"Hempstead County, AR"	"05057"	"Female"	"F"	11103
	"Hempstead County, AR"	"05057"	"Male"	"M"	10429
"Total"	"Hempstead County, AR"	"05057"			21532
	"Hot Spring County, AR"	"05059"	"Female"	"F"	16125
	"Hot Spring County, AR"	"05059"	"Male"	"M"	17646
"Total"	"Hot Spring County, AR"	"05059"			33771
	"Howard County, AR"	"05061"	"Female"	"F"	6829
	"Howard County, AR"	"05061"	"Male"	"M"	6373
"Total"	"Howard County, AR"	"05061"			13202
	"Independence County, AR"	"05063"	"Female"	"F"	19346
	"Independence County, AR"	"05063"	"Male"	"M"	18479
"Total"	"Independence County, AR"	"05063"			37825
	"Izard County, AR"	"05065"	"Female"	"F"	6556
	"Izard County, AR"	"05065"	"Male"	"M"	7073
"Total"	"Izard County, AR"	"05065"			13629
	"Jackson County, AR"	"05067"	"Female"	"F"	8422
	"Jackson County, AR"	"05067"	"Male"	"M"	8297
"Total"	"Jackson County, AR"	"05067"			16719
	"Jefferson County, AR"	"05069"	"Female"	"F"	33819
	"Jefferson County, AR"	"05069"	"Male"	"M"	33005
"Total"	"Jefferson County, AR"	"05069"			66824
	"Johnson County, AR"	"05071"	"Female"	"F"	13421
	"Johnson County, AR"	"05071"	"Male"	"M"	13157
"Total"	"Johnson County, AR"	"05071"			26578
	"Lafayette County, AR"	"05073"	"Female"	"F"	3386
	"Lafayette County, AR"	"05073"	"Male"	"M"	3238
"Total"	"Lafayette County, AR"	"05073"			6624
	"Lawrence County, AR"	"05075"	"Female"	"F"	8370
	"Lawrence County, AR"	"05075"	"Male"	"M"	8036
"Total"	"Lawrence County, AR"	"05075"			16406
	"Lee County, AR"	"05077"	"Female"	"F"	3874
	"Lee County, AR"	"05077"	"Male"	"M"	4983
"Total"	"Lee County, AR"	"05077"			8857
	"Lincoln County, AR"	"05079"	"Female"	"F"	5029
	"Lincoln County, AR"	"05079"	"Male"	"M"	7995
"Total"	"Lincoln County, AR"	"05079"			13024
	"Little River County, AR"	"05081"	"Female"	"F"	6355
	"Little River County, AR"	"05081"	"Male"	"M"	5904
"Total"	"Little River County, AR"	"05081"			12259
	"Logan County, AR"	"05083"	"Female"	"F"	10766
	"Logan County, AR"	"05083"	"Male"	"M"	10700
"Total"	"Logan County, AR"	"05083"			21466
	"Lonoke County, AR"	"05085"	"Female"	"F"	37349
	"Lonoke County, AR"	"05085"	"Male"	"M"	35960
"Total"	"Lonoke County, AR"	"05085"			73309
	"Madison County, AR"	"05087"	"Female"	"F"	8276
	"Madison County, AR"	"05087"	"Male"	"M"	8300
"Total"	"Madison County, AR"	"05087"			16576
	"Marion County, AR"	"05089"	"Female"	"F"	8514
	"Marion County, AR"	"05089"	"Male"	"M"	8180
"Total"	"Marion County, AR"	"05089"			16694
	"Miller County, AR"	"05091"	"Female"	"F"	21963
	"Miller County, AR"	"05091"	"Male"	"M"	21294
"Total"	"Miller County, AR"	"05091"			43257
	"Mississippi County, AR"	"05093"	"Female"	"F"	20856
	"Mississippi County, AR"	"05093"	"Male"	"M"	19795
"Total"	"Mississippi County, AR"	"05093"			40651
	"Monroe County, AR"	"05095"	"Female"	"F"	3564
	"Monroe County, AR"	"05095"	"Male"	"M"	3137
"Total"	"Monroe County, AR"	"05095"			6701
	"Montgomery County, AR"	"05097"	"Female"	"F"	4529
	"Montgomery County, AR"	"05097"	"Male"	"M"	4457
"Total"	"Montgomery County, AR"	"05097"			8986
	"Nevada County, AR"	"05099"	"Female"	"F"	4164
	"Nevada County, AR"	"05099"	"Male"	"M"	4088
"Total"	"Nevada County, AR"	"05099"			8252
	"Newton County, AR"	"05101"	"Female"	"F"	3836
	"Newton County, AR"	"05101"	"Male"	"M"	3917
"Total"	"Newton County, AR"	"05101"			7753
	"Ouachita County, AR"	"05103"	"Female"	"F"	12333
	"Ouachita County, AR"	"05103"	"Male"	"M"	11049
